Month,General Index,Vegetables,Month-Year
Jan-2006,119,108,01-2006
Feb-2006,119,102,02-2006
Mar-2006,119,103,03-2006
Apr-2006,120,110,04-2006
May-2006,121,120,05-2006
Jun-2006,123,132,06-2006
Jul-2006,124,133,07-2006
Aug-2006,124,138,08-2006
Sep-2006,125,138,09-2006
Oct-2006,127,148,10-2006
Nov-2006,127,139,11-2006
Dec-2006,127,126,12-2006
Jan-2007,127,118,01-2007
Feb-2007,128,115,02-2007
Mar-2007,127,119,03-2007
Apr-2007,128,126,04-2007
May-2007,129,131,05-2007
Jun-2007,130,140,06-2007
Jul-2007,132,152,07-2007
Aug-2007,133,149,08-2007
Sep-2007,133,143,09-2007
Oct-2007,134,151,10-2007
Nov-2007,134,145,11-2007
Dec-2007,134,131,12-2007
Jan-2008,134,121,01-2008
Feb-2008,135,122,02-2008
Mar-2008,137,127,03-2008
Apr-2008,138,140,04-2008
May-2008,139,136,05-2008
Jun-2008,140,136,06-2008
Jul-2008,143,144,07-2008
Aug-2008,145,147,08-2008
Sep-2008,146,159,09-2008
Oct-2008,148,181,10-2008
Nov-2008,148,172,11-2008
Dec-2008,147,143,12-2008
Jan-2009,148,134,01-2009
Feb-2009,148,127,02-2009
Mar-2009,148,132,03-2009
Apr-2009,150,148,04-2009
May-2009,151,159,05-2009
Jun-2009,153,173,06-2009
Jul-2009,160,191,07-2009
Aug-2009,162,190,08-2009
Sep-2009,163,189,09-2009
Oct-2009,165,199,10-2009
Nov-2009,168,204,11-2009
Dec-2009,169,190,12-2009
Jan-2010,172,163,01-2010
Feb-2010,170,149,02-2010
Mar-2010,170,150,03-2010
Apr-2010,170,164,04-2010
May-2010,172,175,05-2010
Jun-2010,174,194,06-2010
Jul-2010,178,206,07-2010
Aug-2010,178,191,08-2010
Sep-2010,179,197,09-2010
Oct-2010,181,203,10-2010
Nov-2010,182,203,11-2010
Dec-2010,185,219,12-2010
Jan-2011,188,211,01-2011
Feb-2011,185,176,02-2011
Mar-2011,185,177,03-2011
Apr-2011,186,188,04-2011
May-2011,187,188,05-2011
Jun-2011,189,196,06-2011
Jul-2011,193,209,07-2011
Aug-2011,194,212,08-2011
Sep-2011,197,221,09-2011
Oct-2011,198,232,10-2011
Nov-2011,199,224,11-2011
Dec-2011,197,186,12-2011
Jan-2012,198,179,01-2012
Feb-2012,199,187,02-2012
Mar-2012,201,214,03-2012
Apr-2012,205,244,04-2012
May-2012,206,241,05-2012
Jun-2012,208,246,06-2012
Jul-2012,212,258,07-2012
Aug-2012,214,251,08-2012
Sep-2012,215,240,09-2012
Oct-2012,217,239,10-2012
Nov-2012,218,240,11-2012
Dec-2012,219,220,12-2012
Jan-2013,221,213,01-2013
Feb-2013,223,213,02-2013
Mar-2013,224,221,03-2013
Apr-2013,226,244,04-2013
May-2013,228,258,05-2013
Jun-2013,231,287,06-2013
Jul-2013,235,303,07-2013
Aug-2013,237,298,08-2013
Sep-2013,238,287,09-2013
Oct-2013,241,319,10-2013
Nov-2013,243,349,11-2013
Dec-2013,239,288,12-2013
Jan-2014,237,245,01-2014
Feb-2014,238,235,02-2014
Mar-2014,239,245,03-2014
Apr-2014,242,273,04-2014
May-2014,244,282,05-2014
Jun-2014,246,294,06-2014
Jul-2014,252,351,07-2014
Aug-2014,253,364,08-2014
Sep-2014,253,343,09-2014
Oct-2014,253,336,10-2014
Nov-2014,253,324,11-2014
Dec-2014,253,295,12-2014
Jan-2015,254,278,01-2015
Feb-2015,253,266,02-2015
Mar-2015,254,272,03-2015
Apr-2015,256,281,04-2015
May-2015,258,290,05-2015
Jun-2015,261,300,06-2015
Jul-2015,263,301,07-2015
Aug-2015,264,297,08-2015
Sep-2015,266,297,09-2015
Oct-2015,269,311,10-2015
Nov-2015,270,322,11-2015
Dec-2015,269,300,12-2015
Jan-2016,269,291,01-2016
Feb-2016,267,269,02-2016
Mar-2016,268,277,03-2016
Apr-2016,271,303,04-2016
May-2016,275,336,05-2016
Jun-2016,277,364,06-2016
Jul-2016,280,371,07-2016
Aug-2016,278,337,08-2016
Sep-2016,277,328,09-2016
Oct-2016,278,337,10-2016
Nov-2016,277,311,11-2016
Dec-2016,275,267,12-2016
Jan-2017,274,251,01-2017
Feb-2017,274,258,02-2017
Mar-2017,275,274,03-2017
