Month-Year,Indian-Basket,Month-Year
January-2006,60.54,01-2006
February-2006,58.95,02-2006
March-2006,60.01,03-2006
April-2006,67.02,04-2006
May-2006,67.41,05-2006
June-2006,66.95,06-2006
July-2006,71.36,07-2006
August-2006,70.84,08-2006
September-2006,61.04,09-2006
October-2006,57.27,10-2006
November-2006,57.79,11-2006
December-2006,60.34,12-2006
January-2007,52.62,01-2007
February-2007,56.49,02-2007
March-2007,60.26,03-2007
April-2007,65.54,04-2007
May-2007,65.79,05-2007
June-2007,68.19,06-2007
July-2007,72.69,07-2007
August-2007,70.99,08-2007
September-2007,74.78,09-2007
October-2007,79.33,10-2007
November-2007,89.11,11-2007
December-2007,87.92,12-2007
January-2008,89.52,01-2008
February-2008,92.37,02-2008
March-2008,99.76,03-2008
April-2008,105.77,04-2008
May-2008,120.91,05-2008
June-2008,129.72,06-2008
July-2008,132.47,07-2008
August-2008,113.05,08-2008
September-2008,96.81,09-2008
October-2008,69.12,10-2008
November-2008,50.91,11-2008
December-2008,40.61,12-2008
January-2009,44,01-2009
February-2009,43.22,02-2009
March-2009,46.02,03-2009
April-2009,50.16,04-2009
May-2009,58,05-2009
June-2009,69.12,06-2009
July-2009,64.83,07-2009
August-2009,71.98,08-2009
September-2009,67.7,09-2009
October-2009,73.07,10-2009
November-2009,77.39,11-2009
December-2009,75.02,12-2009
February-2010,73.65,02-2010
March-2010,78.02,03-2010
April-2010,84.08,04-2010
May-2010,76.16,05-2010
June-2010,74.33,06-2010
July-2010,73.54,07-2010
August-2010,75.13,08-2010
September-2010,76.09,09-2010
October-2010,81.11,10-2010
November-2010,84.26,11-2010
December-2010,89.78,12-2010
January-2011,93.87,01-2011
February-2011,101.62,02-2011
March-2011,110.72,03-2011
April-2011,118.46,04-2011
May-2011,110.65,05-2011
June-2011,109.85,06-2011
July-2011,112.37,07-2011
August-2011,106.94,08-2011
September-2011,108.79,09-2011
October-2011,106.11,10-2011
November-2011,109.62,11-2011
December-2011,107.2,12-2011
January-2012,110.47,01-2012
February-2012,117.67,02-2012
March-2012,123.61,03-2012
April-2012,118.04,04-2012
May-2012,108.13,05-2012
June-2012,94.52,06-2012
July-2012,100.34,07-2012
August-2012,110.07,08-2012
September-2012,111.77,09-2012
October-2012,109.79,10-2012
November-2012,107.87,11-2012
December-2012,107.28,12-2012
January-2013,109.55,01-2013
February-2013,112.68,02-2013
March-2013,106.45,03-2013
April-2013,101.58,04-2013
May-2013,101.14,05-2013
June-2013,101.16,06-2013
July-2013,104.86,07-2013
August-2013,108.45,08-2013
September-2013,109.46,09-2013
October-2013,107.38,10-2013
December-2013,108.72,12-2013
JANUARY-2014,105.29,01-2014
February-2014,106.19,02-2014
March-2014,105.29,03-2014
April-2014,105.62,04-2014
May-2014,106.94,05-2014
June-2014,109.13,06-2014
July-2014,106.31,07-2014
August-2014,101.89,08-2014
September-2014,96.96,09-2014
October-2014,86.83,10-2014
November-2014,77.58,11-2014
December-2014,61.21,12-2014
January-2015,46.59,01-2015
February-2015,56.43,02-2015
