Month-Year,Quantity(MT),Month-year
January-2006,82423,01-2006
February-2006,62094,02-2006
March-2006,78473,03-2006
April-2006,88553,04-2006
May-2006,104343,05-2006
June-2006,92979,06-2006
July-2006,102603,07-2006
August-2006,115304,08-2006
September-2006,102163,09-2006
October-2006,88389,10-2006
November-2006,108170,11-2006
December-2006,123818,12-2006
January-2007,67194,01-2007
February-2007,73862,02-2007
March-2007,93684,03-2007
April-2007,94167,04-2007
May-2007,84760,05-2007
June-2007,70976,06-2007
July-2007,61629,07-2007
August-2007,71320,08-2007
September-2007,64188,09-2007
October-2007,26067,10-2007
November-2007,58803,11-2007
December-2007,158734,12-2007
January-2008,133887,01-2008
February-2008,137781,02-2008
March-2008,139089,03-2008
April-2008,131082,04-2008
May-2008,177626,05-2008
June-2008,149821,06-2008
July-2008,168498,07-2008
August-2008,154653,08-2008
September-2008,134246,09-2008
October-2008,125912,10-2008
November-2008,108907,11-2008
December-2008,100379,12-2008
January-2009,114317,01-2009
February-2009,158990,02-2009
March-2009,258849,03-2009
April-2009,238234,04-2009
May-2009,190602,05-2009
June-2009,159765,06-2009
July-2009,205072,07-2009
August-2009,186144,08-2009
September-2009,141298,09-2009
October-2009,177962,10-2009
November-2009,84220,11-2009
December-2009,98921,12-2009
January-2010,108237,01-2010
February-2010,114983,02-2010
March-2010,167564,03-2010
April-2010,186631,04-2010
May-2010,172188,05-2010
June-2010,149844,06-2010
July-2010,175034,07-2010
August-2010,158515,08-2010
September-2010,92078,09-2010
October-2010,103822,10-2010
November-2010,80314,11-2010
December-2010,17708,12-2010
February-2011,45409,02-2011
March-2011,159229,03-2011
April-2011,145453,04-2011
May-2011,146596,05-2011
June-2011,137753,06-2011
July-2011,120773,07-2011
August-2011,90963,08-2011
September-2011,132782,09-2011
October-2011,103447,10-2011
November-2011,112460,11-2011
December-2011,113823,12-2011
January-2012,147255,01-2012
February-2012,152197,02-2012
March-2012,149402,03-2012
April-2012,158812,04-2012
May-2012,175961,05-2012
June-2012,182501,06-2012
July-2012,177077,07-2012
August-2012,156283,08-2012
September-2012,150833,09-2012
October-2012,154957,10-2012
November-2012,110611,11-2012
December-2012,137956,12-2012
January-2013,133141,01-2013
February-2013,101860,02-2013
March-2013,182768,03-2013
April-2013,203578,04-2013
May-2013,193083,05-2013
June-2013,143165,06-2013
July-2013,126432,07-2013
August-2013,39481,08-2013
September-2013,23786,09-2013
October-2013,58142,10-2013
November-2013,66236,11-2013
December-2013,133290,12-2013
January-2014,121000,01-2014
February-2014,150000,02-2014
March-2014,100000,03-2014
April-2014,127461.2,04-2014
May-2014,137614.68,05-2014
June-2014,127327.93,06-2014
July-2014,60252.69,07-2014
August-2014,58891.37,08-2014
September-2014,78353.02,09-2014
October-2014,78489,10-2014
November-2014,65107.81,11-2014
December-2014,42793.43,12-2014
January-2015,112380.95,01-2015
February-2015,81769.99,02-2015
March-2015,115629.78,03-2015
April-2015,117377.22,04-2015
May-2015,118507.11,05-2015
June-2015,103518.22,06-2015
July-2015,77002.03,07-2015
August-2015,42693.41,08-2015
September-2015,26832.52,09-2015
October-2015,23353.65,10-2015
November-2015,65939.09,11-2015
December-2015,120008.07,12-2015
January-2016,133425.37,01-2016
February-2016,151909.55,02-2016
March-2016,133851.89,03-2016
April-2016,142767.95,04-2016
May-2016,166035.85,05-2016
June-2016,278672.29,06-2016
July-2016,200781.27,07-2016
August-2016,275685.25,08-2016
September-2016,292438.87,09-2016
October-2016,278438.04,10-2016
November-2016,376163.36,11-2016
December-2016,388839.6,12-2016
January-2017,320741.62,01-2017
February-2017,348070.04,02-2017
March-2017,424084.1,03-2017
April-2017,320943.85,04-2017
May-2017,378809.13,05-2017
