Month,Delhi,Kolkata,Mumbai,Chennai
August-15-2015,63.2,68.1,68.24,63.49
August-01-2015,64.47,69.15,69.51,64.77
July-16-2015,66.9,71.57,71.97,67.29
July-01-2015,66.62,74.09,74.52,69.84
June-16-2015,66.93,74.42,74.78,70.12
May-16-2015,66.29,73.76,74.12,69.45
May-01-2015,63.16,70.44,70.84,66.08
April-16-2015,59.2,66.81,66.69,61.9
April-02-2015,60,67.48,67.53,62.75
March-01-2015,60.49,67.92,68.14,63.31
February-16-2015,57.31,65.29,64.81,59.85
February-04-2015,56.49,64.6,63.9,58.88
January-17-2015,58.91,66.64,66.36,61.38
January-16-2015,61.33,68.66,68.86,63.94
December-16-2014,61.33,68.65,68.86,63.94
December-01-2014,63.33,70.73,70.95,66.05
November-01-2014,64.24,71.68,71.91,67.01
October-15-2014,66.65,74.21,74.46,69.59
October-01-2014,67.86,75.46,75.73,70.87
August-31-2014,68.51,76.14,76.41,71.55
August-15-2014,70.33,78.03,78.32,73.47
August-01-2014,72.51,80.3,80.6,75.78
July-01-2014,73.6,81.43,81.75,76.93
June-25-2014,71.56,79.42,80.16,74.76
June-07-2014,71.51,79.36,80.11,74.71
April-16-2014,71.41,79.26,80,74.6
April-01-2014,72.26,80.13,80.89,75.49
March-01-2014,73.16,80.96,82.07,76.48
January-05-2014,72.43,80.2,81.31,75.71
January-04-2014,72.43,79.55,79.52,75.68
December-21-2013,71.52,78.6,78.56,74.71
November-01-2013,71.02,78.07,78.04,74.22
October-01-2013,72.4,79.51,79.49,75.68
September-14-2013,76.06,83.63,83.62,79.55
September-01-2013,74.1,81.57,81.57,77.48
August-01-2013,71.28,78.64,78.61,74.49
July-15-2013,70.44,77.76,77.73,73.6
July-01-2013,68.58,75.84,75.79,71.65
June-29-2013,68.58,76.1,76.9,71.71
June-16-2013,66.39,73.79,74.6,69.39
June-01-2013,63.99,71.29,72.08,66.85
May-23-2013,63.09,70.35,71.13,65.9
May-01-2013,63.09,70.35,69.73,65.9
April-16-2013,66.09,73.48,72.88,69.08
April-02-2013,67.29,74.72,74.14,70.34
April-01-2013,68.31,75.79,75.21,71.42
March-16-2013,68.34,75.84,75.14,71.41
March-02-2013,70.74,78.34,77.66,73.95
February-16-2013,69.06,76.59,75.89,72.17
January-18-2013,67.26,74.72,74,70.26
January-16-2013,67.56,75.03,74.32,70.58
January-01-2013,67.24,75.03,74.32,70.58
November-16-2012,67.24,74.55,73.53,70.57
October-27-2012,68.19,75.74,74.73,71.77
October-09-2012,67.9,75.44,74.43,71.48
August-01-2012,68.46,76.14,75.14,72.19
July-25-2012,68.48,76.13,75.14,72.19
July-24-2012,68.48,73.61,74.23,73.16
June-29-2012,67.78,72.74,73.35,72.27
June-18-2012,70.24,75.81,76.45,75.4
June-03-2012,71.16,75.81,76.45,75.4
May-24-2012,73.18,77.88,78.57,77.53
December-01-2011,65.64,70.03,70.66,69.55
November-16-2011,66.42,70.84,71.47,70.38
November-04-2011,68.64,73.15,73.81,72.73
September-16-2011,66.84,71.28,71.91,70.82
July-01-2011,63.7,68.01,68.62,67.5
May-15-2011,63.37,67.71,68.33,67.22
March-02-2011,58.37,62.5,63.08,61.93
January-16-2011,58.37,62.5,63.08,63.36
December-16-2010,55.87,59.9,60.46,60.65
November-09-2010,52.91,56.81,57.35,57.44
November-02-2010,52.59,56.47,57.01,57.09
October-17-2010,52.59,56.44,57.01,57.09
September-21-2010,51.83,55.69,56.25,56.31
September-08-2010,51.56,55.4,55.97,56.02
June-26-2010,51.43,55.32,55.88,55.92
April-01-2010,47.93,51.67,52.2,52.13
February-27-2010,47.43,51.15,51.68,51.59
July-02-2009,44.72,48.25,48.76,48.58
January-29-2009,40.62,44.05,44.55,44.24
December-06-2008,45.62,47.16,49.8,49.66
November-06-2008,50.62,52.2,55.04,55.07
July-16-2008,50.62,52.2,55.04,55.07
June-06-2008,50.56,52.2,55.88,55.07
May-24-2008,45.56,48.98,50.54,49.64
February-15-2008,45.52,48.95,50.51,49.61
June-06-2007,43.52,46.86,48.38,47.44
May-16-2007,42.85,46.86,48.38,47.44
March-01-2007,42.85,46.9,48.41,47.48
February-16-2007,42.85,46.92,48.45,47.51
November-30-2006,44.85,48.99,50.58,49.67
June-20-2006,46.85,51.07,52.71,51.83
June-05-2006,47.51,51.07,53.5,51.83
September-06-2005,43.49,46.9,49.16,47.49
June-20-2005,40.49,43.79,45.93,44.26
April-05-2005,37.99,40.89,43.23,41.25
April-01-2005,37.99,40.89,43.23,41.25
November-15-2004,37.84,40.89,43.23,41.25
November-04-2004,39,42.1,44.49,42.51
July-31-2004,36.81,39.83,42.15,40.15
June-15-2004,35.71,38.69,40.96,38.96
December-31-2003,33.7,36.61,38.83,36.79
December-12-2003,32.7,35.57,37.74,35.71
October-16-2003,31.7,34.5,36.66,34.36
August-31-2003,32.4,35.26,37.42,35.39
June-01-2003,30.3,31.81,35.14,33.11
May-16-2003,30.4,31.91,35.25,33.22
April-26-2003,31.49,33,36.43,34.4
April-16-2003,32.49,34,37.25,35.48
April-01-2003,33.49,35,35.25,36.39
March-16-2003,33.49,35,38.59,36.39
March-01-2003,23.1,33.61,37.08,34.89
February-01-2003,30.71,32.21,35.58,33.99
January-16-2003,30.33,31.84,35.18,32.99
January-03-2003,29.93,31.44,34.73,32.55
December-01-2002,28.91,30.42,33.63,31.45
November-16-2002,29.57,31.01,34.23,32.05
November-01-2002,30.26,31.7,34.98,32.8
October-17-2002,30.24,31.68,34.95,32.07
October-01-2002,29.91,31.35,34.42,32.42
September-16-2002,29.66,31.1,34.15,32.16
September-01-2002,29.2,30.64,33.65,31.66
August-16-2002,29,29.44,33.44,31.44
August-01-2002,29.18,29.63,33.64,31.64
July-01-2002,29.18,29.63,33.64,31.64
June-16-2002,29.18,29.63,33.72,31.3
June-04-2002,29.94,29.39,33.45,31.05
